"sampl" "month_year_date" "Vr_micro_g_Glu_l_h" "Vmax_mu_g_Glu_l_h" "Kt_u_Sn_mu_g_Glu_l" "vr_B_mu_g_Glu_h_Zelle_10_to_9" "Vmax__B_mu_g_Glu_h_Zelle_10_to_9" "vmax_over_Br" "vr_over_Br" "attached_rod_0to1" "attached_rod_1to2" "attached_rod_2to3" "attached_rod_3to4" "attached_rod_4to" "attached_cocci_0to0_5" "attached_cocci_0_5to1" "attached_cocci_1to2" "attached_cocci_2to" "attached_div" "free_rod_0to1" "free_rod_1to2" "free_rod_2to3" "free_rod_3to4" "free_rod_4to" "free_cocci_0to0_5" "free_cocci_0_5to1" "free_cocci_1to2" "free_cocci_2to" "free_div" "free_sum" "total_Prok_10to6_per_ml" "large_prok" "small_prok" "rods_percent" "cocci_percent" "large_prok_percent" "small_prok_percent" "total_Prok_10to6_per_ml" "attached_Prok_10to6_per_ml" "free_Prok_10to6_per_ml" "total_mittl_ProkVol_mum_to3" "attached_mittl_ProkVol_mum_to3" "free_mittl_ProkVol_mum_to3" "proportion_attached_rods" "proportion_attached_large_prok" "proportion_free_rods" "proportion_free_large_prok" "proportion_free_attached" "ProkBiomasse_mg_TS_L" "mittl_ProkVol_mum_to3_in_1_mL_sed" "drymass_mug_rod_0to1" "drymass_mug_rod_1to2" "drymass_mug_rod_2to3" "drymass_mug_rod_3to4" "drymass_mug_rod_4to" "drymass_mug_cocci_0to0_5" "drymass_mug_cocci_0_5to1" "drymass_mug_cocci_1to2" "drymass_mug_cocci_2to" "drymass_mug_per_L"
"P24_041979" "041979" 0.608 1.19 533 0.192 0.375 3.22 1.64 690 312 22 22 0 534 244 0 0 22 401 245 100 45 11 412 89 11 0 11 1325 NA 89 2037 58.2597730138714 40.6998738965952 2.80580075662043 64.21815889029 NA 1848 1325 369830 NA NA 32.9760403530895 0.693568726355612 25.2837326607818 2.11223203026482 NA NA NA 17.51055 35.7594 11.7486 8.6028 2.1186 9.10998 26.8035 7.062 0 118.71543
"P24_071979" "071979" 0.183 0.195 94.7 0.061 0.0652 0.661 0.62 646 424 44 0 0 712 156 0 0 11 273 184 33 16 0 373 106 0 0 11 996 NA 16 2004 54.1987286717966 45.0652392104383 0.535296085647374 67.0458347273336 NA NA NA 295100 NA NA 37.2699899631984 0 16.9287387085982 0.535296085647374 NA NA NA 14.74995 39.0336 7.4151 2.0544 0 10.44855 21.0255 0 0 94.7271
"P24_101979" "101979" 0.24 NA NA 0.093 0.094 0.976 0.96 534 312 90 0 0 690 134 0 0 0 234 178 33 0 0 301 56 0 0 33 835 NA 0 1759 53.0391018195896 45.6833139759969 0 68.0991095625242 NA NA NA 247980 NA NA 36.2369337979094 0 17.2280294231514 0 NA NA NA 12.3264 30.816 11.7486 0 0 9.54333 15.16725 0 0 79.60158
"P25_011979" "011979" 0.73 NA NA 0.13 NA NA 1.18 944 586 98 22 0 1476 500 32 0 32 346 277 30 0 0 993 141 16 0 11 1814 5.6 71 3808 42.4460431654676 56.7805755395683 1.27697841726619 68.4892086330935 5.6 NA NA 621040 0.112 NA 29.6762589928058 0.971223021582734 11.7446043165468 0.287769784172662 NA 0.19 NA 21.507 55.3404 13.0968 2.8248 0 23.76684 51.36 31.458 0 199.35384
"P25_021980" "021980" 0.8 NA NA 0.081 1.027 NA NA 2628 1659 128 45 0 4899 468 0 0 45 1013.18035 684.731775 139.173125 0 0 2510.683175 384.117825 0 0 44.5354 4776.42165 9.9 45 7527 45.1782820097245 54.3658833063209 0.455834683954619 76.2459481361426 9.9 NA NA 783570 0.08 NA 45.1782820097245 0.455834683954619 18.6090483184765 0 NA 0.23 NA 42.1794 106.5078 12.3264 5.778 0 47.17737 37.557 0 0 251.52597
"P25_061983" "061983" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.7 NA NA NA NA NA NA 5.7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"P25_041979" "041979" 1.01 NA NA 0.281 NA NA 2.11 690 356 0 0 0 936 312 0 0 0 134 356 189 22 0 367 178 33 0 22 1301 NA 55 2127 48.6095661846496 50.7786429365962 1.52947719688543 59.1490545050056 NA 2294 1303 476890 NA NA 29.0878754171301 0 19.4938820912125 1.52947719688543 NA NA NA 13.2252 45.7746 18.2007 2.8248 0 12.54789 39.3225 21.186 0 153.08169
"P25_071979" "071979" 0.623 NA NA 0.09 NA NA 1.12 790.50335 194.842375 77.93695 0 0 2922.635625 261.645475 0 0 0 556.6925 450.920925 94.637725 11.13385 0 1074.416525 473.188625 0 0 0 2660.99015 NA 11.13385 5344.248 31.5068493150685 68.4931506849315 0.16116035455278 77.3569701853344 NA NA NA 556358.4845 NA NA 15.3908138597905 0 16.116035455278 0.16116035455278 NA NA NA 21.6224933925 41.45800386 16.6189412025 1.42958634 0 38.4916122045 58.970436525 0 0 178.5910735245
"P25_101979" "101979" 0.725 NA NA 0.065 NA NA 0.794 2594.18705 1285.959675 77.93695 0 0 4258.697625 439.787075 0 0 0 590.09405 617.928675 72.370025 0 0 907.408775 250.511625 0 0 11.13385 2449.447 NA 0 8350 47.1212666426772 52.6808204390068 0 75.1169485426412 NA NA NA 912480 NA NA 35.6070859571788 0 11.5184666246851 0 NA NA NA 51.1032 122.2368 14.445 0 0 49.74858 55.3725 0 0 292.90608
"P26_011979" "011979" 0.58 0.599 17.6 0.12 0.12 0.837 0.81 1312 814 142 22 22 856 738 44 0 0 374 190 33 0 0 347 157 5 0 0 1106 5.1 93 2891 57.5158227848101 42.4841772151899 1.83939873417722 57.1795886075949 5.1 NA NA 717020 0.142 NA 45.7278481012658 1.74050632911392 11.807753164557 0.0988924050632911 NA 0.22 NA 27.07635 64.3926 16.7562 2.8248 4.2372 11.59452 71.82375 31.458 0 230.16342
"P26_021980" "021980" 6.788 NA NA 0.18 1.574 NA NA 4768 5256 446 90 0 6324 2048 178 0 0 3786 2939 574 89 44 7705 1202 89 0 89 16517 37 490 23783 52.1051060017916 47.6533022069003 1.33011210944922 64.5592985694508 37 20310 16520 4301450 0.117 NA 28.6652732158853 0.727489888433454 20.1742718314829 0.602622221015771 NA 1.3 NA 156.53565 526.119 98.6112 22.8552 8.667 135.1089 261.4545 171.414 0 1380.76545
"P26_061983" "061983" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 7.9 NA NA NA NA NA NA 7.9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"P26_041979" "041979" 3.04 3.31 88.2 0.202 0.228 2.06 1.89 3296 1960 134 0 0 3652 1292 0 0 0 1292 846 200 22 22 1626 668 22 0 22 4720 NA 66 9864 51.6276906723359 48.2261493489237 0.4384799362211 65.5328195588626 NA 10332 4721 1605060 NA NA 35.8091947913898 0 15.8251395163433 0.4384799362211 NA NA NA 73.62135 180.1452 32.1642 2.8248 4.2372 50.81751 157.29 14.124 0 515.22426
"P26_071979" "071979" 1.27 1.21 43.3 0.136 0.13 1.25 1.31 2338 1092 44 0 0 3406 1046 66 0 0 412 134 22 0 0 546 234 0 0 22 1370 NA 66 6702 43.1745353556932 56.5904721213416 0.704977568895535 71.5872676778466 NA NA NA 973060 NA NA 37.107455671865 0.704977568895535 6.06707968382824 0 NA NA NA 44.1375 78.7092 6.3558 0 0 38.05776 102.72 42.372 0 312.35226
"P26_101979" "101979" 1.06 NA NA 0.128 0.124 1.35 NA 1870 802 12 12 12 3252 734 34 0 0 445 206 39 0 0 713 161 6 0 6 1576 NA 61 6280 40.9107336465486 59.0169859053126 0.734851222744248 75.6535357185881 NA NA NA 764320 NA NA 32.622575593302 0.698710998674859 8.31225153595952 0.0722804481387785 NA NA NA 37.1718 64.7136 4.815 1.4124 2.1186 38.17332 71.904 25.038 0 245.34672
"P27_011979" "011979" 0.16 NA NA 0.023 NA NA 0.21 1454 846 44 0 22 1670 630 22 0 22 759 488 33 0 0 727 130 22 0 22 2181 6.9 65 4610 52.925802236097 46.4498330187309 0.943807172934514 66.9377087265863 6.9 NA NA 761110 0.111 NA 34.3545810948163 0.638884855524902 18.5857412516335 0.319442427762451 NA 0.23 NA 35.51865 85.6428 7.3188 0 4.2372 23.08311 60.90975 27.606 0 244.31631
"P27_041979" "041979" 0.59 NA NA 0.146 NA NA NA 1595.85183333333 723.70025 0 0 0 1521.62616666667 129.894916666667 0 0 55.66925 259.789833333333 296.902666666667 37.1128333333333 18.5564166666667 0 389.68475 46.3910416666667 0 0 9.27820833333333 1057.71575 NA 18.5564166666667 3766.95258333333 57.6642335766423 41.0583941605839 0.364963503649635 74.0875912408759 NA 387 116 416869.900416667 NA NA 45.6204379562044 0 12.043795620438 0.364963503649635 NA NA NA 29.78304875 65.52270725 3.57396585 2.3826439 0 18.4059241275 14.14694815625 0 0 133.81523803375
"P27_071979" "071979" 0.282 NA NA 0.081 NA NA NA 1113.385 482.466833333333 18.5564166666667 0 0 797.925916666667 167.00775 18.5564166666667 0 18.5564166666667 250.511625 269.068041666667 18.5564166666667 18.5564166666667 0 278.34625 27.834625 0 0 0 862.873375 NA 37.1128333333334 2440.16879166667 62.4 37.0666666666667 1.06666666666667 70.1333333333333 NA NA NA 752088.19 NA NA 46.4 0.533333333333334 16 0.533333333333334 NA NA NA 27.87680844 82.91563536 31.62945573 5.71831968 0 23.58806868 55.3962219 14.2957992 0 241.42030899
"P27_101979" "101979" 0.181 NA NA 0.031 NA NA NA 2404.9116 534.4248 44.5354 0 0 1915.0222 89.0708 0 0 0 311.7478 133.6062 0 0 0 400.8186 22.2677 0 0 0 868.4403 NA 0 5032.5002 58.5551330798479 41.4448669201521 0 85.9315589353612 NA NA NA 380109.639 NA NA 50.9505703422053 0 7.60456273764258 0 NA NA NA 43.60238337 42.8875902 4.28875902 0 0 22.301546904 8.934914625 0 0 122.015194119
"P28_011979" "011979" 0.033 0.179 149 0.011 0.061 0.411 0.076 520 260 0 18 0 416 276 18 0 0 512 252 52 9 0 330 234 35 0 9 1433 2.9 44 4307 51.8192017951595 47.6518672864241 0.705241224555217 69.0334989581664 2.9 NA NA 643610 0.148 NA 12.7905112998878 0.577015547363359 13.2232729604103 0.705241224555217 NA 0.13 NA 34.8285 64.0716 4.1409 1.4124 2.1186 20.57931 65.3235 14.124 0 206.59881
"P28_021980" "021980" 0.16 NA NA 0.034 0.34 NA NA 1336 1436 39 11 0 1848 111 11 0 22 774 743 148 22 22 1790 337 0 0 89 3924.6645 4.8 22 3184 58.6206896551724 40.9223099293727 0.457000415454923 66.1404237640216 4.8 NA NA 475290 0.099 NA 58.6206896551724 0.457000415454923 35.5006231823847 0.914000830909846 NA 0.14 NA 21.4428 92.1912 3.7557 1.4124 0 17.79624 8.90775 7.062 0 152.56809
"P28_061983" "061983" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.1 NA NA NA NA NA NA 2.1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"P28_041979" "041979" 0.098 0.118 161 0.04 0.057 0.537 0.342 408 238 0 8 0 498 156 0 0 30 200 163 37 7 4 223 85 0 0 15 734 NA 19 1329 51.4478764478765 46.3803088803089 0.916988416988417 64.1409266409266 NA 1326 735 212000 NA NA 31.5637065637066 0.386100386100386 19.8359073359073 0.530888030888031 NA NA NA 9.77445 25.7442 3.5631 1.926 0.7704 6.9336 19.34025 0 0 68.052
"P28_071979" "071979" 0.074 0.088 5.26 0.029 0.035 0.3 0.253 300.61395 372.983975 0 0 0 450.920925 61.236175 0 0 0 411.95245 361.850125 38.968475 0 0 261.645475 261.645475 0 0 NA 1336.062 NA 0 1425.1328 58.9403973509934 41.0596026490066 0 56.5121412803532 NA NA NA 296383.087 NA NA 26.7108167770419 0 32.2295805739514 0 NA NA NA 11.43669072 47.17634922 3.7526641425 0 0 6.862014432 25.9112524125 0 0 95.138970927
"P28_101979" "101979" 0.088 NA NA 0.024 0.027 0.113 NA 1347.19585 662.464075 33.40155 0 0 1363.896625 217.110075 0 0 0 411.95245 239.377775 50.102325 0 0 395.251675 50.102325 0 0 0 1146.78655 NA 0 3518.2966 57.5262543757293 42.4737456242707 0 73.7456242707118 NA NA NA 412954.4965 NA NA 42.8238039673279 0 14.7024504084014 0 NA NA NA 28.234330215 57.89824677 8.0414231625 0 0 16.940598129 21.4437951 0 0 132.5583933765
"P32_011979" "011979" 0.42 NA NA 0.067 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6.2 NA NA NA NA NA NA 6.2 NA NA NA 0.104 NA NA NA NA NA NA 0.19 NA NA NA NA NA NA NA NA NA NA NA
"P32_041979" "041979" 0.856 NA NA 0.043 NA NA NA 2449.447 501.02325 0 0 0 3395.82425 167.00775 0 0 0 1085.550375 306.180875 55.66925 0 0 1057.71575 167.00775 0 0 0 2672.124 NA 0 7988.537375 47.8787878787879 52.1212121212121 0 86.969696969697 NA NA NA 0.062 NA NA 32.1212121212121 0 15.7575757575758 0 NA NA NA 56.73670786875 51.822504825 5.360948775 0 0 42.8875902 26.804743875 0 0 183.61249554375
"P32_071979" "071979" 0.25 NA NA 0.022 NA NA NA 3696.4382 578.9602 0 0 0 4141.7922 222.677 0 0 44.5354 823.9049 178.1416 0 0 0 1469.6682 66.8031 0 0 0 2538.5178 NA 0 10131.8035 47.0238095238095 52.5793650793651 0 90.2777777777778 NA NA NA NA NA NA NA NA NA NA NA NA NA 72.551506755 48.60593556 0 0 0 54.038363652 23.230778025 0 0 198.426583992
"P32_101979" "101979" 0.383 NA NA 0.093 NA NA NA 918.542625 306.180875 0 0 0 1224.7235 83.503875 0 0 27.834625 375.7674375 278.34625 41.7519375 0 0 821.1214375 41.7519375 0 0 0 1558.739 NA 0 3340.155 46.6216216216216 52.7027027027027 0 81.0810810810811 NA NA NA 286835.810625 NA NA 29.7297297297297 0 16.8918918918919 0 NA NA NA 20.773676503125 37.526641425 4.02071158125 0 0 19.701486748125 10.051778953125 0 0 92.074295210625
